Post_ID,Text,Sentiment,Timestamp,User,Platform,Retweets,Likes,Country,Year,Month,Day,Hour
0000, Enjoying a beautiful day at the park!               #Nature #Park                            , Positive  ,15/01/2023 12:30, User123      , Twitter  ,19,34, USA      ,2023,1,15,12
0001, Traffic was terrible this morning.                  #Traffic #Morning                        , Negative  ,15/01/2023 08:45, CommuterX    , Twitter  ,6,18, Canada   ,2023,1,15,8
0002, Just finished an amazing workout! 💪                #Fitness #Workout                        , Positive  ,15/01/2023 15:45, FitnessFan   , Instagram ,21,47, USA        ,2023,1,15,15
0003, Excited about the upcoming weekend getaway!         #Travel #Adventure                       , Positive  ,15/01/2023 18:20, AdventureX   , Facebook ,9,17, UK       ,2023,1,15,18
0004, Trying out a new recipe for dinner tonight.         #Cooking #Food                           , Neutral   ,15/01/2023 19:55, ChefCook     , Instagram ,20,30, Australia ,2023,1,15,19
0005, Feeling grateful for the little things in life.     #Gratitude #PositiveVibes              , Positive  ,16/01/2023 09:10, GratitudeNow , Twitter  ,34,52, India    ,2023,1,16,9
0006, Rainy days call for cozy blankets and hot cocoa.    #RainyDays #Cozy                         , Positive  ,16/01/2023 14:45, RainyDays    , Facebook ,15,22, Canada   ,2023,1,16,14
0007, The new movie release is a must-watch!              #MovieNight #MustWatch                  , Positive  ,16/01/2023 19:30, MovieBuff    , Instagram ,22,34, USA    ,2023,1,16,19
0008, Political discussions heating up on the timeline.   #Politics #Debate                       , Negative  ,17/01/2023 08:00, DebateTalk   , Twitter  ,31,63, USA      ,2023,1,17,8
0009, Missing summer vibes and beach days.                #Summer #BeachDays                      , Neutral   ,17/01/2023 12:20, BeachLover   , Facebook ,26,37, Australia ,2023,1,17,12
0010, Just published a new blog post. Check it out!       #Blogging #NewPost                      , Positive  ,17/01/2023 15:15, BloggerX     , Instagram ,23,48,USA,2023,1,17,15
0011, Feeling a bit under the weather today.              #SickDay #Health                        , Negative  ,18/01/2023 10:30, WellnessCheck, Twitter  ,8,19, Canada   ,2023,1,18,10
0012, Exploring the city's hidden gems.                   #CityExplore #HiddenGems                , Positive  ,18/01/2023 14:50, UrbanExplorer, Facebook ,19,32, UK       ,2023,1,18,14
